Area_code,Area
A104,"Pittsburgh, PA"
A105,"Buffalo-Niagara Falls, NY"
A106,"Scranton, PA"
A210,"Cleveland-Akron, OH"
A212,"Milwaukee-Racine, WI"
A213,"Cincinnati-Hamilton, OH-KY-IN"
A214,"Kansas City, MO-KS"
A311,"Washington-Baltimore, DC-MD-VA-WV"
A315,"Washington, DC-MD-VA"
A317,"Baltimore, MD"
A421,"Los Angeles-Riverside-Orange County, CA"
A425,"Portland-Salem, OR-WA"
S11A,"Boston-Cambridge-Newton, MA-NH"
S12A,"New York-Newark-Jersey City, NY-NJ-PA"
S12B,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
S23A,"Chicago-Naperville-Elgin, IL-IN-WI"
S23B,"Detroit-Warren-Dearborn, MI"
S24A,"Minneapolis-St.Paul-Bloomington, MN-WI"
S24B,"St. Louis, MO-IL"
S35A,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
S35B,"Miami-Fort Lauderdale-West Palm Beach, FL"
S35C,"Atlanta-Sandy Springs-Roswell, GA"
S35D,"Tampa-St. Petersburg-Clearwater, FL"
S35E,"Baltimore-Columbia-Towson, MD"
S37A,"Dallas-Fort Worth-Arlington, TX"
S37B,"Houston-The Woodlands-Sugar Land, TX"
S48A,"Phoenix-Mesa-Scottsdale, AZ"
S48B,"Denver-Aurora-Lakewood, CO"
S49A,"Los Angeles-Long Beach-Anaheim, CA"
S49B,"San Francisco-Oakland-Hayward, CA"
S49C,"Riverside-San Bernardino-Ontario, CA"
S49D,Seattle-Tacoma-Bellevue WA
S49E,"San Diego-Carlsbad, CA"
S49F,Urban Hawaii
S49G,Urban Alaska
