,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Median Home Rent,Median Monthly Owner Costs,Name,Zipcode
0,36.6,18450.0,10816.0,12041.0,7380.0,381.0,700.0,ZCTA5 00601,00601
1,38.6,41302.0,22409.0,15663.0,8463.0,406.0,850.0,ZCTA5 00602,00602
2,38.9,53683.0,26220.0,15485.0,9176.0,347.0,825.0,ZCTA5 00603,00603
3,37.3,6591.0,3721.0,15019.0,6383.0,313.0,565.0,ZCTA5 00606,00606
4,39.2,28963.0,14569.0,16707.0,7892.0,435.0,736.0,ZCTA5 00610,00610
5,38.5,68055.0,30695.0,17848.0,10188.0,409.0,768.0,ZCTA5 00612,00612
6,40.9,10183.0,4808.0,15342.0,8767.0,460.0,743.0,ZCTA5 00616,00616
7,36.2,24879.0,13362.0,14982.0,7939.0,444.0,757.0,ZCTA5 00617,00617
8,42.0,6165.0,3700.0,14281.0,8751.0,534.0,812.0,ZCTA5 00622,00622
9,39.7,44704.0,21322.0,17389.0,9326.0,400.0,789.0,ZCTA5 00623,00623
10,34.2,25340.0,15095.0,14768.0,6761.0,379.0,719.0,ZCTA5 00624,00624
11,37.9,34806.0,15541.0,19527.0,9112.0,416.0,773.0,ZCTA5 00627,00627
12,43.9,1747.0,906.0,11596.0,6561.0,253.0,903.0,ZCTA5 00631,00631
13,38.8,24996.0,12384.0,16430.0,8045.0,384.0,764.0,ZCTA5 00637,00637
14,37.2,18742.0,11271.0,13860.0,6526.0,360.0,771.0,ZCTA5 00638,00638
15,38.7,30401.0,16917.0,14924.0,7479.0,390.0,664.0,ZCTA5 00641,00641
16,37.5,38303.0,13665.0,28306.0,14374.0,669.0,1199.0,ZCTA5 00646,00646
17,41.3,5640.0,3050.0,13925.0,7384.0,472.0,893.0,ZCTA5 00647,00647
18,36.2,14969.0,8176.0,16133.0,7038.0,420.0,664.0,ZCTA5 00650,00650
19,40.1,3461.0,1742.0,12809.0,9406.0,394.0,864.0,ZCTA5 00652,00652
20,36.6,13461.0,8990.0,12595.0,6465.0,333.0,593.0,ZCTA5 00653,00653
21,36.5,21172.0,11207.0,15054.0,7534.0,333.0,718.0,ZCTA5 00656,00656
22,37.9,41932.0,19332.0,19199.0,9428.0,437.0,796.0,ZCTA5 00659,00659
23,42.4,17151.0,5564.0,21107.0,10609.0,418.0,736.0,ZCTA5 00660,00660
24,38.4,43535.0,23794.0,15600.0,8124.0,455.0,754.0,ZCTA5 00662,00662
25,33.9,16508.0,8562.0,19342.0,7841.0,398.0,616.0,ZCTA5 00664,00664
26,39.6,25797.0,15533.0,14081.0,6763.0,433.0,729.0,ZCTA5 00667,00667
27,37.7,28984.0,18000.0,11790.0,6600.0,402.0,667.0,ZCTA5 00669,00669
28,37.7,9689.0,5527.0,15817.0,7016.0,284.0,824.0,ZCTA5 00670,00670
29,37.9,43848.0,20376.0,18048.0,9838.0,454.0,833.0,ZCTA5 00674,00674
30,35.8,39916.0,20916.0,14697.0,7700.0,409.0,765.0,ZCTA5 00676,00676
31,41.3,15108.0,8064.0,15875.0,8986.0,421.0,823.0,ZCTA5 00677,00677
32,37.5,27229.0,15659.0,14877.0,7274.0,354.0,738.0,ZCTA5 00678,00678
33,38.6,56003.0,27935.0,15115.0,8745.0,398.0,721.0,ZCTA5 00680,00680
34,35.0,32509.0,17053.0,15067.0,10869.0,361.0,899.0,ZCTA5 00682,00682
35,40.6,33442.0,15191.0,15587.0,9178.0,351.0,754.0,ZCTA5 00683,00683
36,39.7,41947.0,23075.0,14623.0,7192.0,353.0,699.0,ZCTA5 00685,00685
37,33.8,32609.0,18201.0,14797.0,7060.0,432.0,698.0,ZCTA5 00687,00687
