,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
0,45.0,17423.0,1462.0,56714.0,30430.0,8715.0,479.0,975.0,1489.0,ZCTA5 01001,01001
1,23.2,29970.0,8351.0,48923.0,26072.0,15180.0,1271.0,1206.0,2146.0,ZCTA5 01002,01002
2,19.9,11296.0,54.0,2499.0,3829.0,4258.0,1021.0,1150.0,-666666666.0,ZCTA5 01003,01003
3,44.1,5228.0,230.0,70568.0,32169.0,2835.0,153.0,926.0,1645.0,ZCTA5 01005,01005
4,42.5,14888.0,1410.0,80502.0,36359.0,8050.0,543.0,921.0,1768.0,ZCTA5 01007,01007
5,48.5,1194.0,49.0,67250.0,34505.0,703.0,63.0,831.0,1613.0,ZCTA5 01008,01008
6,62.2,237.0,105.0,-666666666.0,26150.0,122.0,0.0,-666666666.0,-666666666.0,ZCTA5 01009,01009
7,46.6,3718.0,95.0,83273.0,38693.0,2124.0,132.0,773.0,1691.0,ZCTA5 01010,01010
8,41.0,1523.0,110.0,74722.0,29951.0,839.0,55.0,881.0,1484.0,ZCTA5 01011,01011
9,50.5,528.0,60.0,60417.0,34032.0,287.0,31.0,1106.0,1383.0,ZCTA5 01012,01012
10,35.0,22943.0,4233.0,40876.0,21677.0,10378.0,1097.0,840.0,1388.0,ZCTA5 01013,01013
11,44.5,30629.0,3166.0,57851.0,29705.0,15409.0,1246.0,839.0,1370.0,ZCTA5 01020,01020
12,41.1,2528.0,644.0,44701.0,26605.0,1106.0,129.0,1268.0,1075.0,ZCTA5 01022,01022
13,51.2,1018.0,45.0,50924.0,28269.0,507.0,22.0,786.0,1535.0,ZCTA5 01026,01026
14,45.1,17872.0,1774.0,61217.0,33598.0,9859.0,769.0,912.0,1650.0,ZCTA5 01027,01027
15,46.0,16063.0,677.0,83003.0,39282.0,8018.0,474.0,851.0,1811.0,ZCTA5 01028,01028
16,47.9,760.0,96.0,54375.0,32415.0,409.0,43.0,633.0,1169.0,ZCTA5 01029,01029
17,44.9,11278.0,1124.0,64874.0,32812.0,5890.0,233.0,780.0,1631.0,ZCTA5 01030,01030
18,43.2,1192.0,268.0,39327.0,26153.0,545.0,98.0,696.0,1383.0,ZCTA5 01031,01031
19,49.3,590.0,15.0,73750.0,36045.0,373.0,21.0,1352.0,1810.0,ZCTA5 01032,01032
20,45.5,6310.0,290.0,86951.0,39115.0,3602.0,140.0,786.0,1696.0,ZCTA5 01033,01033
21,46.6,2323.0,230.0,82159.0,32783.0,1260.0,82.0,-666666666.0,1468.0,ZCTA5 01034,01034
22,46.3,5338.0,384.0,62634.0,40287.0,2845.0,29.0,1072.0,1947.0,ZCTA5 01035,01035
23,48.7,5190.0,256.0,80375.0,38547.0,2748.0,198.0,913.0,1814.0,ZCTA5 01036,01036
24,50.3,755.0,86.0,80417.0,33913.0,311.0,30.0,-666666666.0,1534.0,ZCTA5 01037,01037
25,50.7,2853.0,157.0,65887.0,35804.0,1682.0,39.0,1035.0,1673.0,ZCTA5 01038,01038
26,54.0,1194.0,78.0,74107.0,43845.0,689.0,61.0,1004.0,1753.0,ZCTA5 01039,01039
27,34.4,40280.0,11227.0,38829.0,21897.0,16494.0,1976.0,742.0,1423.0,ZCTA5 01040,01040
28,45.7,2343.0,221.0,72386.0,29854.0,1252.0,41.0,988.0,1543.0,ZCTA5 01050,01050
29,49.8,1697.0,251.0,66528.0,30391.0,639.0,42.0,-666666666.0,1470.0,ZCTA5 01053,01053
30,48.0,1972.0,84.0,86771.0,45344.0,1110.0,42.0,1029.0,2038.0,ZCTA5 01054,01054
31,44.2,21352.0,1124.0,64537.0,31897.0,10416.0,709.0,884.0,1704.0,ZCTA5 01056,01056
32,45.5,8773.0,496.0,74439.0,33763.0,4835.0,388.0,844.0,1534.0,ZCTA5 01057,01057
33,35.0,15407.0,2258.0,56128.0,35487.0,8730.0,565.0,1042.0,1664.0,ZCTA5 01060,01060
34,43.8,10867.0,1445.0,73913.0,39024.0,5486.0,444.0,879.0,1910.0,ZCTA5 01062,01062
35,20.3,563.0,0.0,-666666666.0,3134.0,364.0,27.0,-666666666.0,-666666666.0,ZCTA5 01063,01063
36,-666666666.0,12.0,0.0,-666666666.0,,0.0,0.0,-666666666.0,-666666666.0,ZCTA5 01066,01066
37,45.0,1825.0,62.0,85052.0,34288.0,970.0,53.0,1175.0,1800.0,ZCTA5 01068,01068
38,44.0,8753.0,591.0,57994.0,30199.0,4558.0,420.0,669.0,1575.0,ZCTA5 01069,01069
39,52.7,562.0,60.0,55208.0,30773.0,332.0,16.0,633.0,1505.0,ZCTA5 01070,01070
40,47.9,1271.0,17.0,70938.0,34924.0,719.0,35.0,882.0,1613.0,ZCTA5 01071,01071
41,46.8,1542.0,187.0,75658.0,36704.0,834.0,72.0,1321.0,1727.0,ZCTA5 01072,01072
42,48.4,6081.0,251.0,90318.0,44278.0,3528.0,211.0,979.0,1880.0,ZCTA5 01073,01073
43,35.2,228.0,0.0,-666666666.0,16890.0,112.0,0.0,-666666666.0,-666666666.0,ZCTA5 01074,01074
44,40.8,17770.0,1524.0,61821.0,30822.0,9189.0,629.0,927.0,1588.0,ZCTA5 01075,01075
