,2012 Median Age,2012 Total Population,2012 Poverty Count,2012 Median Household Income,2012 Employed,2012 Unemployed,2012 Monthly Rent,2012 Owner Monthly Costs,"City, State",2013 Median Age,2013 Total Population,2013 Poverty Count,2013 Median Household Income,2013 Employed,2013 Unemployed,2013 Monthly Rent,2013 Owner Monthly Costs,2014 Median Age,2014 Total Population,2014 Poverty Count,2014 Median Household Income,2014 Employed,2014 Unemployed,2014 Monthly Rent,2014 Owner Monthly Costs,2015 Median Age,2015 Total Population,2015 Poverty Count,2015 Median Household Income,2015 Employed,2015 Unemployed,2015 Monthly Rent,2015 Owner Monthly Costs,State,City,2016 Median Age,2016 Total Population,2016 Poverty Count,2016 Median Household Income,2016 Employed,2016 Unemployed,2016 Monthly Rent,2016 Owner Monthly Costs,Population Growth Rate (2012 to 2013),Median Age Growth Rate (2012 to 2013),Poverty Count Growth Rate (2012 to 2013),Median Household Income Growth Rate (2012 to 2013),Employed Growth Rate (2012 to 2013),Unemployed Growth Rate (2012 to 2013),Monthly Rent Growth Rate (2012 to 2013),Owner Monthly Costs Growth Rate (2012 to 2013),Population Growth Rate (2013 to 2014),Median Age Growth Rate (2013 to 2014),Poverty Count Growth Rate (2013 to 2014),Median Household Income Growth Rate (2013 to 2014),Employed Growth Rate (2013 to 2014),Unemployed Growth Rate (2013 to 2014),Monthly Rent Growth Rate (2013 to 2014),Owner Monthly Costs Growth Rate (2013 to 2014),Population Growth Rate (2014 to 2015),Median Age Growth Rate (2014 to 2015),Poverty Count Growth Rate (2014 to 2015),Median Household Income Growth Rate (2014 to 2015),Employed Growth Rate (2014 to 2015),Unemployed Growth Rate (2014 to 2015),Monthly Rent Growth Rate (2014 to 2015),Owner Monthly Costs Growth Rate (2014 to 2015),Population Growth Rate (2015 to 2016),Median Age Growth Rate (2015 to 2016),Poverty Count Growth Rate (2015 to 2016),Median Household Income Growth Rate (2015 to 2016),Employed Growth Rate (2015 to 2016),Unemployed Growth Rate (2015 to 2016),Monthly Rent Growth Rate (2015 to 2016),Owner Monthly Costs Growth Rate (2015 to 2016),5-Year Average Population Growth Rate,5-Year Average Age Growth Rate,5-Year Average Poverty Count Growth Rate,5-Year Average Median Household Income Growth Rate,5-Year Average Employed Growth Rate,5-Year Average Unemployed Growth Rate,5-Year Average Monthly Rent Growth Rate,5-Year Average Owner Monthly Costs Growth Rate
1003,33.325,247294.0,18567.0,91518.5,116773.0,8256.0,1216.0,1830.0,"Katy, TX",33.475,261394.0,20569.0,92813.5,124828.0,9224.0,1227.0,1829.75,33.925,276413.0,21497.0,93592.25,132936.0,8821.0,1238.0,1823.25,34.075,294511.0,21427.0,94176.5,141679.0,8659.0,1294.5,1793.75,TX,Katy,34.175,311311.0,20327.0,97865.25,150265.0,9008.0,1341.0,1834.5,0.05701715367133857,0.004501125281320287,0.10782571228523725,0.014150144506302004,0.0689799868120199,0.11724806201550388,0.009046052631578948,-0.0001366120218579235,0.05745732495772665,0.013442867811799722,0.045116437357188004,0.008390481988072856,0.06495337584516295,-0.04369037294015612,0.008964955175224124,-0.003552397868561279,0.06547448926063536,0.0044215180545322235,-0.0032562683165092803,0.006242504053487335,0.06576849010049948,-0.018365264709216643,0.04563812600969305,-0.016179898532839708,0.05704370974259026,0.0029347028613351226,-0.051337098053857284,0.03916847621221855,0.06060178290360604,0.04030488509065712,0.03592120509849363,0.022717770034843206,5.924816940807271,0.6325053502246839,2.4587195818014678,1.6987901690020186,6.507590891532209,2.387432736419706,2.4892584728747438,0.07122154028960737
2252,34.099999999999994,214291.0,23481.0,89558.66666666667,106513.0,7767.0,1785.2222222222222,2943.222222222222,"Irvine, CA",34.36666666666666,221712.0,26083.0,87468.77777777778,108833.0,8342.0,1805.4444444444443,2884.777777777778,34.08888888888889,230355.0,27785.0,90048.0,112434.0,8607.0,1817.7777777777778,2856.4444444444443,34.63333333333334,239465.0,28773.0,90224.88888888889,117273.0,8078.0,1873.0,2745.1111111111113,CA,Irvine,34.611111111111114,247802.0,30687.0,90207.44444444444,120139.0,8010.0,1966.3333333333333,2822.1111111111113,0.0346304791148485,0.007820136852394891,0.11081299774285593,-0.023335417628171744,0.021781378798832067,0.07403115746105317,0.011327565818136525,-0.019857299256295032,0.03898300497943278,-0.008082767539605379,0.06525323007322777,0.02948734723120246,0.03308739077301921,0.031766962359146486,0.006831189611668495,-0.009821669298617315,0.03954765470686549,0.01597131681877465,0.03555875472377182,0.0019643844270710122,0.043038582635145956,-0.06146160102242361,0.030378973105134446,-0.038976194180799645,0.03481510867976531,-0.0006416426050690768,0.06652069648628924,-0.0001933440390925302,0.024438702855729792,-0.008417925229017083,0.04983093077059971,0.02804986642920748,3.6994061870228023,0.37667608816237713,6.9536419756536185,0.19807424977522997,3.0586513765681755,0.8979648392189741,2.4592164826384795,-1.0151324076626125
2383,35.199999999999996,232075.0,40192.0,46162.57142857143,103111.0,14767.0,1112.4285714285713,1576.142857142857,"Kissimmee, FL",35.18571428571429,238981.0,46021.0,44904.0,102734.0,15135.0,1098.0,1471.857142857143,35.4,246970.0,47992.0,45331.857142857145,105183.0,13276.0,1092.4285714285713,1399.142857142857,35.614285714285714,257631.0,53808.0,44471.0,109866.0,11875.0,1117.142857142857,1362.4285714285713,FL,Kissimmee,35.74285714285714,266837.0,54376.0,45890.42857142857,115449.0,11066.0,1139.4285714285713,1370.7142857142858,0.0297576214585802,-0.0004058441558439021,0.14502886146496816,-0.02726389344490587,-0.0036562539399288144,0.024920430690052144,-0.012970335174007875,-0.06616514094081388,0.03342943581288889,0.006090133982947451,0.04282827404880381,0.009528263470005901,0.02383826191913096,-0.12282788239180707,-0.005074160811865819,-0.04940308647966616,0.043167186297930926,0.006053268765133201,0.1211868644774129,-0.01899011417388596,0.044522403810501696,-0.10552877372702621,0.02262325094808428,-0.02624055544210746,0.03573327743943858,0.0036101083032490347,0.01055605114481118,0.031918071809236864,0.05081644912893889,-0.06812631578947369,0.01994884910485928,0.006081577015833191,3.552188025220965,0.38369167238714463,7.990001278399901,-0.12019180848872671,2.8880215229660684,-6.789063530456371,0.6131901016767466,-3.3931801461688575
2939,36.025,323197.0,19946.0,90619.375,159809.0,9502.0,1217.125,1838.875,"Spring, TX",36.025,334379.0,20691.0,91422.75,163388.0,9570.0,1230.75,1836.125,36.5875,340706.0,21043.0,92666.25,165837.0,9723.0,1268.625,1847.375,36.5375,351400.0,21975.0,94306.125,172208.0,8559.0,1334.75,1850.0,TX,Spring,36.737500000000004,363874.0,22138.0,96197.25,177118.0,7943.0,1389.375,1872.0,0.034598093422896874,0.0,0.03735084728767673,0.00886537785103903,0.022395484609752894,0.007156388128814986,0.011194413063571941,-0.0014954795731085583,0.01892164280651596,0.015614156835530881,0.01701222753854333,0.013601647292386195,0.014988860871055401,0.01598746081504702,0.030773918342474102,0.006127033834842399,0.03138776540477714,-0.0013665869490945585,0.04429026279522882,0.017696572376674356,0.03841724102582657,-0.11971613699475471,0.052123361907577104,0.0014209351106299478,0.03549800796812749,0.005473828258638463,0.007417519908987486,0.02005304533507235,0.028512031961349067,-0.07197102465241266,0.04092526690391459,0.011891891891891892,3.0101377400579366,0.49303495362686967,2.651771438260909,1.5054160713792983,2.607840461699598,-4.213582817582634,3.3754240054384432,0.44860953160639205
3474,35.863157894736844,379926.0,94325.0,37954.36842105263,172510.0,21285.0,900.0526315789474,1607.578947368421,"New Orleans, LA",36.07368421052631,395474.0,98941.0,38442.57894736842,179547.0,22859.0,911.6842105263158,1595.8947368421052,36.18421052631578,407356.0,103052.0,38847.68421052631,184899.0,22609.0,921.7368421052631,1614.2105263157894,36.45789473684211,415247.0,102960.0,38920.15789473684,191059.0,20593.0,932.2105263157895,1612.7368421052631,LA,New Orleans,36.66842105263158,421027.0,101077.0,40821.57894736842,194769.0,19897.0,944.2631578947369,1634.1052631578948,0.040923758837247255,0.005870267097152691,0.04893718526371588,0.012863091829107725,0.040791838154309895,0.07394879022786,0.012923220864276962,-0.007268203247773733,0.030044958707778513,0.0030639042894659353,0.04155001465519855,0.010537931487700688,0.029808351016725427,-0.010936611400323724,0.01102644036485385,0.011476815513488527,0.019371262482938755,0.007563636363636659,-0.0008927531731553002,0.0018655857017826807,0.03331548575168065,-0.08916803043035959,0.011362987495003758,-0.0009129442451906957,0.013919426269184364,0.0057745055579615685,-0.018288655788655787,0.0488544023324404,0.01941808551285205,-0.033797892487738554,0.012929087624209608,0.013249787872854312,2.606485157428722,0.5568078327054213,1.7826447739275837,1.8530252837757875,3.0833440108892005,-1.498843602264047,1.2060434087086045,0.4136363973344602
3684,35.7,221013.0,36478.0,53135.2,99932.0,15224.0,1198.0,2391.4,"Jamaica, NY",35.38,228495.0,39736.0,53544.2,102306.0,16938.0,1215.2,2379.2,34.660000000000004,238709.0,41058.0,53418.2,105185.0,16973.0,1231.4,2402.4,35.08,238284.0,40050.0,53686.6,107493.0,15518.0,1254.0,2377.6,NY,Jamaica,35.379999999999995,243431.0,38474.0,55531.2,111770.0,14749.0,1286.2,2435.8,0.03385321225448277,-0.008963585434173678,0.0893141071330665,0.0076973456390490675,0.023756154184845696,0.1125853914871256,0.014357262103505882,-0.005101614117253605,0.04470119696273441,-0.020350480497456157,0.03326957922287095,-0.0023531960511129126,0.028141066995093153,0.002066359664659346,0.013331138907175811,0.00975117686617362,-0.0017804104579215699,0.012117714945181608,-0.024550635686102586,0.00502450475680576,0.021942292151922803,-0.0857243857891946,0.018353094039304782,-0.010323010323010398,0.02160027530174078,0.00855188141391098,-0.03935081148564295,0.03435866678090992,0.039788637399644625,-0.04955535507152983,0.025677830940988872,0.0244784656796771,2.4593568515259094,-0.21611173931343122,1.467055979604798,1.1181830281412959,2.8407037682876566,-0.5156997427234873,1.7929831497743836,0.47012545263966793
3752,33.853488372093025,954661.0,164742.0,66113.04651162791,512642.0,39598.0,1051.6279069767443,1960.046511627907,"Austin, TX",34.167441860465125,974109.0,167129.0,67208.88372093023,523522.0,40921.0,1078.953488372093,1999.8372093023256,34.52093023255814,1001576.0,172249.0,69042.30232558139,539113.0,38434.0,1108.7674418604652,2023.7674418604652,34.95116279069767,1026543.0,166161.0,71627.3488372093,558493.0,34481.0,1167.6744186046512,2031.1162790697674,TX,Austin,35.358139534883726,1049650.0,156976.0,74186.48837209302,577726.0,30701.0,1222.4883720930231,2074.7906976744184,0.020371629300872246,0.009273888850724938,0.014489322698522539,0.01657520364168343,0.021223387861314523,0.03341077832213748,0.025984077841662907,0.020300894615694953,0.02819704981680695,0.01034576640348474,0.0306350184587953,0.027279408660676744,0.029780983416169714,-0.060775640868991475,0.027632287962064916,0.011966090263160962,0.024927713922857576,0.012462947992454704,-0.035344181969126094,0.0374414876757391,0.03594793670343694,-0.10285164177551126,0.05312834280680414,0.0036312656569602694,0.022509529556969363,0.011644154634373743,-0.05527771257996762,0.035728525157338945,0.03443731613466955,-0.10962559090513616,0.0469428400716987,0.021502667796377217,2.400148064937653,1.0931689470259531,-1.137438834794397,2.925615628385956,3.0347406028897685,-5.996052380687535,3.842188717055767,1.435022958304835
4029,46.67999999999999,219598.0,32749.0,61780.4,90731.0,12189.0,1136.3,1834.8,"Bradenton, FL",47.32,221984.0,35141.0,60009.0,89365.0,12147.0,1138.9,1760.2,47.3,226232.0,36000.0,62672.2,92340.0,10466.0,1155.8,1659.9,48.010000000000005,234070.0,38657.0,61552.2,95195.0,9213.0,1163.1,1603.6,FL,Bradenton,48.279999999999994,239761.0,38179.0,63146.4,97986.0,8052.0,1280.4,1557.5,0.010865308427217005,0.013710368466152695,0.0730403981800971,-0.02867252397200409,-0.015055493712182165,-0.0034457297563376815,0.00228812813517569,-0.040658382385001045,0.0191365143433761,-0.000422654268808181,0.02444438120713696,0.04438000966521684,0.03329043809097521,-0.13838807936115913,0.014838879620686507,-0.056982161118054736,0.03464585027759114,0.015010570824524483,0.07380555555555555,-0.01787076247522825,0.030918345245830627,-0.11972100133766482,0.006315971621387744,-0.03391770588589685,0.02431323962917076,0.005623828369089542,-0.012365160255581136,0.02589996783218154,0.029318766741950733,-0.12601758384890915,0.1008511735878258,-0.028747817410825587,2.2240228169338754,0.8480528347739635,3.973129367180212,0.5934172762541509,1.9618014091643603,-9.68930985760177,3.1073538241268936,-4.0076516699944555
4178,33.6875,798534.0,123235.0,57409.791666666664,399560.0,46012.0,891.25,1600.9583333333333,"Charlotte, NC",33.783333333333346,816085.0,133891.0,57375.125,402652.0,49778.0,909.7083333333334,1575.0416666666667,34.020833333333336,834525.0,138818.0,58708.0,415642.0,48945.0,937.7083333333334,1563.4166666666667,34.20833333333333,852368.0,139521.0,59646.416666666664,431380.0,44486.0,963.0416666666666,1528.4166666666667,NC,Charlotte,34.283333333333324,869225.0,132698.0,62435.083333333336,445283.0,40499.0,1004.0833333333334,1522.9583333333333,0.02197902656618253,0.0028447742733460676,0.08646894145332089,-0.0006038458886586142,0.00773851236359996,0.08184821350951925,0.020710612435717667,-0.016188220597038137,0.022595685498446854,0.007030093734582831,0.03679858989775265,0.02323088620721959,0.03226110884833554,-0.01673430029330226,0.03077909586405899,-0.007380757122827438,0.021381025134058297,0.005511328842620734,0.005064184759901454,0.015984476845858558,0.03786431592572454,-0.09110225763612217,0.02701621861808479,-0.022386866371728584,0.019776669232068778,0.0021924482338610204,-0.04890303251840225,0.046753297557690754,0.03222912513329315,-0.08962370183878074,0.042616709211266465,-0.0035712338476638033,2.1433101607689116,0.43946612711026634,1.9857170898143186,2.134120368052757,2.7523265567738298,-2.890301156467148,3.028065903228198,-1.2381769484814489
4206,37.107142857142854,318283.0,23059.0,94305.78571428571,182875.0,9232.0,1552.642857142857,2493.9285714285716,"Alexandria, VA",37.07142857142857,325616.0,25318.0,97025.0,186430.0,9707.0,1605.0714285714287,2496.0,37.035714285714285,333894.0,27145.0,98668.35714285714,191342.0,9582.0,1638.7142857142858,2481.785714285714,36.857142857142854,342825.0,26362.0,100416.28571428571,196680.0,9440.0,1720.2857142857142,2448.0714285714284,VA,Alexandria,37.042857142857144,346200.0,29471.0,101077.42857142857,197972.0,9002.0,1761.5,2481.6428571428573,0.023039244948677748,-0.0009624639076034376,0.09796608699423219,0.028834013365336666,0.019439507860560493,0.05145147313691508,0.033767309196301325,0.0008305885722468332,0.02542258365682276,-0.0009633911368015141,0.07216209811201517,0.01693746089005045,0.02634769082229255,-0.012877305037601731,0.02096034889413019,-0.005694826007326033,0.02674800984743661,-0.004821600771456178,-0.028845091177012342,0.017715188760038074,0.027897691045353345,-0.014819453141306617,0.0497777002876819,-0.013584688444380513,0.009844672938087946,0.005038759689922608,0.11793490630452924,0.006584020235761396,0.006569046166361603,-0.04639830508474576,0.02395781431655875,0.013713418726111067,2.126362784775627,-0.04271740314846304,6.480450005844107,1.7517670812796644,2.0063483973642,-0.5660897531684757,3.2115793173668044,-0.1183876788337161
