,"City, State",Median Age Percentile,Poverty Count Percentile,Median Household Income Percentile,Employed Percentile,Monthly Rent Percentile,Owner Monthly Costs Percentile,Year
0,"Katy, TX",9.200214184880494,98.21593730224407,95.27332911454023,99.4499342841844,91.96319914326048,85.25531811322591,2012
1,"Katy, TX",9.136932288370735,98.35467069074625,95.55566372973762,99.46940563695662,91.82689967385484,85.72263057975952,2013
2,"Katy, TX",9.874409774619092,98.43255610183517,95.50211750961398,99.50348050430803,91.68329844715961,86.03904006230833,2014
3,"Katy, TX",9.672394489607166,98.43742394002824,95.33174317285693,99.52781969527332,92.839410018011,86.38465657401548,2015
4,"Katy, TX",9.560434211166822,98.34493501436012,95.72117022830162,99.55215888623862,93.30428856544809,87.35822421262718,2016
0,"Irvine, CA",11.057294455532299,98.72949423161174,94.72326339872463,99.3915202258677,98.89500073017572,97.52227035973324,2012
1,"Irvine, CA",11.405344886335978,98.81224748089373,94.14399065375066,99.41099157863992,98.8755293774035,97.39570656671373,2013
2,"Irvine, CA",10.134839117947719,98.89013289198267,94.58209609112593,99.43046293141217,98.7927761281215,97.40544224309984,2014
3,"Irvine, CA",11.342062989826218,98.92907559752715,94.32410066689383,99.43533076960522,98.94367911210631,97.08416492235799,2015
4,"Irvine, CA",10.972107287153776,99.04103587596748,93.6133962907073,99.43533076960522,99.07511074331889,97.3859708903276,2016
0,"Kissimmee, FL",14.783624592318551,99.3671810349024,45.83069658764543,99.34284184393711,88.68227620113908,77.8610718979701,2012
1,"Kissimmee, FL",14.262765905661295,99.4499342841844,41.28413571532882,99.35257752032322,87.55537165944604,74.10310081292897,2013
2,"Kissimmee, FL",14.511025653507277,99.44506644599133,40.607506206493696,99.35257752032322,86.81302633500462,70.83678138538674,2014
3,"Kissimmee, FL",14.842038650635253,99.51808401888721,36.97609891447208,99.38665238767463,87.60648396047316,70.01411673075987,2015
4,"Kissimmee, FL",14.744681886774083,99.53755537165945,37.58944652679745,99.4255950932191,87.77199045903714,70.56905028476854,2016
0,"Spring, TX",18.36878742150611,98.38387771990459,95.04940855765955,99.62030862094144,91.99240617241882,85.44029596456214,2012
1,"Spring, TX",17.864966168524557,98.38874555809765,95.19057586525824,99.63004429732756,91.92425643771601,85.8784014019374,2013
2,"Spring, TX",19.262035729932336,98.3595385289393,95.29766830550552,99.63004429732756,92.42564377160103,86.63778416005452,2014
3,"Spring, TX",18.288468091320645,98.48610232195882,95.3706858784014,99.63004429732756,93.70101737818234,87.54806990215646,2015
4,"Spring, TX",18.799591101591783,98.52017718931023,95.29766830550552,99.63004429732756,94.26081877038408,88.12977656622694,2016
0,"New Orleans, LA",17.51448181862435,99.76147592854014,21.296792094630774,99.63977997371367,77.5349267390352,79.05369225526944,2012
1,"New Orleans, LA",17.903908874069025,99.7663437667332,21.837122134060262,99.64951565009979,77.41323078420874,79.16565253370977,2013
2,"New Orleans, LA",17.650781288029986,99.77121160492625,21.96855376527284,99.65438348829285,77.15523535997663,80.50917587499391,2014
3,"New Orleans, LA",17.884437521296793,99.77121160492625,21.306527771016892,99.66411916467897,77.5690016063866,81.6239108212043,2015
4,"New Orleans, LA",18.371221340602638,99.77121160492625,23.983838777199047,99.66411916467897,77.768582972302,82.41250060847977,2016
0,"Jamaica, NY",16.859757581657984,99.28929562381346,63.61777734508105,99.3087669765857,91.47154748576158,93.74969576011293,2012
1,"Jamaica, NY",14.97833812004089,99.30389913839264,63.846565740154794,99.34284184393711,91.6078469551672,93.95414496422138,2013
2,"Jamaica, NY",12.030862094143991,99.333106167551,62.43489266416784,99.35744535851629,91.52996154407828,94.40198607798277,2014
3,"Jamaica, NY",12.79267877135764,99.31363481477875,61.8069415372633,99.36231319670934,91.94372779048824,94.59183176751205,2015
